input,domain_label,intent_label
All alarms after 3pm need to be deleted,alarm,delete alarm
how many friends does mark have,people,get info contact
would you make an alarm for 15 minutes from now,alarm,create alarm
Will it rain anytime next week,weather,get weather
put up an alarm for 15 minutes from now,alarm,create alarm
Create a repeat alarm for every Tuesday at 4,alarm,create alarm
Please set a timer for 4 am,timer,create timer
Reset playlist to country genre.,music,play music
Things to do in Miami this weekend,event,get event
remind me to order breakfast when I wake up saturday morning.,reminder,create reminder
What's the latest on the hurricane in the gulf,weather,get weather
call Beckham my father,calling,create call
What's happnin',event,get event
Any Concerts in Philadelphia next weekend,event,get event
call Gianna from my Whatsapp contacts,calling,create call
what is the weather in Menlo Park at 10am?,weather,get weather
"Contact, Jim, start call",calling,create call
What news is happening with the president of China,news,get stories news
Play Queen.,music,play music
Will it be above 11 in degrees Celsius here,weather,get weather
What's the London weather?,weather,get weather
play Let Me Love You on iHeartRadio,music,play music
Show my work alerts for today.,reminder,get reminder
recent articles about maroon 5,news,get stories news
Who is Sally's teacher?,people,get contact
is the ball game reminder set or did it get deleted,reminder,get reminder
Will I need a rainjacket ?,weather,get weather
Galapagos Island weather for tomorrow morning.,weather,get weather
Will I need an umbrella tonight?,weather,get weather
what is the weather like on Saturday?,weather,get weather
Set an alarm for 7am,alarm,create alarm
How much time is left on my afternoon alarm,alarm,get alarm
How long do I cook beef for,recipes,get info recipes
please call Liam's uncle Joseph Best,calling,create call
set reoccurring alarm,alarm,create alarm
Whos playing this song,music,get track info music
Do I know people from New Jersey?,people,get contact
Put Strassel sisters in law upcoming birthdays on the screen,people,get contact
Remind me to pick my daughter up at school at 4:30 today.,reminder,create reminder
how long did I set my timer for yesterday,timer,get timer
Remind me on July 28th to call Karen to wish her a happy birthday.,reminder,create reminder
how long has it been on the timer?,timer,get timer
can you remind me to pick up James after work today,reminder,create reminder
What temperature should cookies be baked at,recipes,get info recipes
What reminders do I have for payday dates?,reminder,get reminder
start a group call with mark and melissa,calling,create call
Add this to a new playlist,music,add to playlist music
"Snooze my alarm for 2 minutes, please.",alarm,snooze alarm
at what temperature do you fry fish,recipes,get info recipes
Drop the call,calling,end call
make an alarm for 07h20,alarm,create alarm
ARE THERE ANY DEVELOPMENTS IN THE CASEY ANYTHING CASE,news,get stories news
Who are the doctors who work at the REACH animal clinic?,people,get contact
Do any of my friends currently live in Miami?,people,get contact
call Cecily U,calling,create call
I'm bored what's happening tonight,event,get event
Where does my uncle work?,people,get location
Please remove all reminders for the Cycle Group for the rest of this year.,reminder,delete reminder
WHEN IS THE WEATHER GOING TO BE MUCH COOLER,weather,get weather
How warm is it seattle tonight in degrees celcius,weather,get weather
What technical colleges have my friends attended?,people,get undergrad
Would you add in Mazie Echter?,calling,update call
"Get my texts from John Peterson, Steve and Leo",messaging,get message
delete current timer,timer,delete timer
leave this call to switch,calling,switch call
I want to set a timer for thirteen minutes,timer,create timer
set this call as video only,calling,update method call
Can you remind me about my test tomorrow morning at 7am.,reminder,create reminder
"Please set recurring alarms for Mondays at 6:45am, and 7:00am.",alarm,create alarm
give me local news headlines,news,get stories news
Remind me about dinner tomorrow night at 8 PM,reminder,create reminder
remove my brother from this call,calling,update call
Switch to my favorite New Age channel.,music,play music
I want information about Steve's brother Todd,people,get info contact
What is the temperature going to be tommorrow?,weather,get weather
message a video message,messaging,send message
hang up Fran,calling,end call
any news about Taylor Swift,news,get stories news
Please snooze my alarm again,alarm,snooze alarm
Do I know anyone who has a MBA?,people,get contact
will the hurricane hit the suncoast,weather,get weather
tell me about things going on in Atlanta tonight,event,get event
turn on the music,music,play music
What i my reminders for the kids,reminder,get reminder
How much time did i go over the timer,timer,get timer
Which of my brothers is online right now?,calling,get availability
Remind me 2 days before my next game to buy snacks.,reminder,create reminder
how windy is it supposed to be,weather,get weather
Find a song by John Lennon.,music,play music
How hot is it boston degree F,weather,get weather
Please remind me to delete my Prince music playlist at 1 PM today.,reminder,create reminder
what the latest news on female trafficking in india,news,get stories news
set an alarm for 0455,alarm,create alarm
i would like to message that message to my parents,messaging,send message
message la masseria and ask if they found the ring i lost,messaging,send message
start track from the beginning,music,replay music
Can I listen to Mariah Carey's new album,music,play music
Play Reba's new song,music,play music
Do I know anyone from Wisconsin?,people,get contact
Set timer for an hour,timer,create timer
could I send a video message,messaging,send message
things to do in nyc on tuesday,event,get event
List of concerts in LA next week,event,get event
add 11 minutes to the You aren’t done brushing until this goes off timer,timer,add time timer
Play my daily Spotify list,music,play music
create an alarm for Fridays at 2.30am,alarm,create alarm
what is the temperature beef is cooked at in the oven,recipes,get info recipes
begin call with Reed Lucero with WhatsApp,calling,create call
I need a chicken parmesan recipe,recipes,get recipes
who is still online?,calling,get availability
how many cnn news stories will focus on trump today,news,question news
Delete my reminder for the library session today at 2.,reminder,delete reminder
